name,link,number,ean,manufacturerNumber,price,currency
Xerox Schwarz Original Toner (entspricht: Kyocera TK-3100) 12500 Seiten (006R03354),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-3100-12500-seiten-p-306544/?cPath=2_3848_5130_5713_5714_17677,,0095205838916,006R03354,59.89,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-340) 12000 Seiten (006R03231),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-340-12000-seiten-p-306538/?cPath=2_3848_5130_5713_5714_17677,,0095205869811,006R03231,57.89,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-450) 15000 Seiten (006R03175),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-450-15000-seiten-p-306559/?cPath=2_3848_5130_5713_5714_17677,,0095205864304,006R03175,56.49,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-560K) 12000 Seiten (006R03223),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-560k-12000-seiten-p-306547/?cPath=2_3848_5130_5713_5714_17677,,0095205869736,006R03223,88.49,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-580K) 3.500 Seiten (006R03309),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-580k-3500-seiten-p-306528/?cPath=2_3848_5130_5713_5714_17677,,0095205831795,006R03309,32.89,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-590K) 7000 Seiten (006R03227),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-590k-7000-seiten-p-306540/?cPath=2_3848_5130_5713_5714_17677,,0095205869774,006R03227,59.49,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-685) 20000 Seiten (006R03177),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-685-20000-seiten-p-306572/?cPath=2_3848_5130_5713_5714_17677,,0095205864328,006R03177,52.89,€
Xerox Schwarz Original Toner (entspricht: HP CB390A) 19500 Seiten (006R03342),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cb390a-19500-seiten-p-306554/?cPath=2_3848_5130_5713_5714_17677,,0095205838831,006R03342,44.49,€
Xerox Schwarz Original Toner (entspricht: HP CE410A) 2200 Seiten (006R03013),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-ce410a-2200-seiten-p-306532/?cPath=2_3848_5130_5713_5714_17677,,0095205982824,006R03013,48.49,€
Xerox Schwarz Original Toner (entspricht: HP CF210A) 16000 Seiten (006R03180),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf210a-16000-seiten-p-306565/?cPath=2_3848_5130_5713_5714_17677,,0095205864359,006R03180,38.49,€
